text,created_at
あともう少しで進撃の巨人の歴史が終わっちゃうよてんてんてん,Thu Apr 08 13:29:12 +0000 2021
"RT @livedoornews: 【容疑認める】東京ドーム爆破予告容疑、SBファンの男逮捕
https://t.co/Y71BmoyVtI

男はソフトバンクファンで、「一番盛り上がる日本シリーズで巨人が簡単に負けてしまうのがつまらなかった」「怒りに任せて送ってしまった」など…",Thu Apr 15 10:11:42 +0000 2021
「巨人に不満」　東京ドーム爆破予告容疑でソフトバンクファン逮捕 #ldnews https://t.co/O1mS4NRPje,Thu Apr 15 10:11:50 +0000 2021
"RT @jumandekirukana: #10万円でできるかな
4/12(月)3時間SP！

宮田さんだけでなく
キスマイメンバー内にも
ファンが多い進撃の巨人から
#梶裕貴 さん
#石川由依 さん

宮田さんの師匠
#浪川大輔 さん

宮田さんがプライベートで
ライブを見に…",Sat Apr 10 01:17:07 +0000 2021
"RT @SanRiva44: #ひらいて赤ブー 
進🌟の巨人
エル💙ィン×リ💚ァイ
『ゴロツキ兵士の手懐け方』

開催を何卒よろしくお願いします‼️✨ https://t.co/CwMNRko3lD",Fri Apr 09 19:51:39 +0000 2021
"RT @isym_hzm_bot: 諫山先生11年と7ヶ月お疲れ様でした💐
素晴らしい作品をありがとうございました
これからもずっと進撃と諫山先生のファンです！
(すみません今日だけは私もイラストを上げさせてください…！)
#ありがとう諫山先生 #ありがとう進撃の巨人 #Tha…",Fri Apr 09 19:54:10 +0000 2021
"RT @livedoornews: 【容疑認める】東京ドーム爆破予告容疑、SBファンの男逮捕
https://t.co/Y71BmoyVtI

男はソフトバンクファンで、「一番盛り上がる日本シリーズで巨人が簡単に負けてしまうのがつまらなかった」「怒りに任せて送ってしまった」など…",Thu Apr 15 10:02:20 +0000 2021
"阪神競馬場 #戦え天皇賞春の栄冠を奪え

天皇賞(春)の栄冠をかけた #進撃の巨人
調査兵団⚔マーレ軍との戦い、見事敵を駆逐！抽選で10名様に2021年天皇賞(春)の為だけにデザインした新立体機動装置リュックをプレゼント🎁
 https://t.co/zm5uF2r1tr",Mon Apr 19 05:12:17 +0000 2021
RT @uma_Reiner: 天皇賞（春）×進撃の巨人がコラボ　調査兵団が阪神競馬場へ　渋谷すばる新曲書き下ろしSP動画も | ORICON NEWS https://t.co/EZZhQHAjII https://t.co/2ndvu8bZhh,Mon Apr 19 05:13:29 +0000 2021
[定期]　野球／サッカー／陸上／巨人／ガンバ大阪／ファンモン／aiko／GREEEEN／少女時代／柴咲コウ／宮崎あおい／相武紗季　興味のあるひとはフォロよろしく！,Sun Apr 04 07:35:41 +0000 2021
RT @mayu_t0m0: 進撃の巨人の署名活動、賛同者がこんなにいる事に驚きです。まず作品は正規の方法で読んで下さい。それに進撃は先生が妥協せずに書き上げた作品です。結末に対する感じ方は自由だけどその自由を他に強要しないで下さい。読者が作品に干渉しては本当に先生が伝えたかっ…,Sun Apr 11 08:10:04 +0000 2021
"RT @shingeki__kun: 日本のアニメの歴史を変えたスゴいアニメ

アクション作画

｢進撃の巨人｣  伝説の1カット18秒 https://t.co/ikjJq9D31l",Wed Apr 14 01:38:38 +0000 2021
RT @uma_Reiner: 天皇賞（春）×進撃の巨人がコラボ　調査兵団が阪神競馬場へ　渋谷すばる新曲書き下ろしSP動画も | ORICON NEWS https://t.co/EZZhQHAjII https://t.co/2ndvu8bZhh,Sun Apr 18 14:31:37 +0000 2021
"RT @anime_shingeki: 進撃の巨人×森永パキシエルキャンペーン
4月上旬より進撃の巨人コラボパッケージが発売！

アイスの棒に巨人が出たらオリジナルQUOカードが必ずもらえる
「当たり調査兵団キャンペーン」実施中！！

応募締切は6/30まで！

#shinge…",Mon Apr 05 06:18:06 +0000 2021
"@AOGSDkw5Qmr1X51 ありがとうございます。

やっぱり巨人ファン多いですね。私の自宅から東京ドームまで地下鉄一本で行けます(今は行ってないけど)。",Tue Apr 20 11:13:25 +0000 2021
"RT @shingeki__kun: 日本のアニメの歴史を変えたスゴいアニメ

アクション作画

｢進撃の巨人｣  伝説の1カット18秒 https://t.co/ikjJq9D31l",Wed Apr 14 03:16:11 +0000 2021
RT @humbert0225: えっ、ちょっと待って，巨人が弱すぎて怒ってる巨人ファンじゃなくて、ソフトバンクファンが怒ってるの？ なんで？ なんで8タテ食らった上になお、こんなひどいことされないといけないの？,Thu Apr 15 10:48:23 +0000 2021
